Category Slug,Category Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"auto-rifles","1","Positive Outlook","","Precision Frame","5.87%","∞%"
"auto-rifles","2","The Ringing Nail","","Precision Frame","4.21%","∞%"
"auto-rifles","3","Zealous Ideal","","Balanced Heat Weapon","3.50%","∞%"
"auto-rifles","4","Reghusk's Pledge","","Rapid-Fire Frame","3.36%","∞%"
"auto-rifles","5","Trendsetter","","Adaptive Frame","3.19%","∞%"
"auto-rifles","6","Lethal Abundance","","High-Impact Frame","2.91%","∞%"
"auto-rifles","7","No Hesitation","","Support Frame","2.58%","∞%"
"auto-rifles","8","The Forward Path","","Adaptive Frame","2.54%","∞%"
"auto-rifles","9","Chroma Rush","","Rapid-Fire Frame","2.50%","∞%"
"auto-rifles","10","DECATUR 02","","Support Frame","2.48%","∞%"
"auto-rifles","11","Choir of One","","Command Frame","2.42%","∞%"
"auto-rifles","12","Gnawing Hunger","","Adaptive Frame","2.39%","∞%"
"auto-rifles","13","Sorrow's Verse","","Adaptive Frame","2.09%","∞%"
"auto-rifles","14","Giver's Blessing","","Rapid-Fire Frame","2.08%","∞%"
"auto-rifles","15","Duty Bound","","Adaptive Frame","1.90%","∞%"
"auto-rifles","16","Seventh Seraph Carbine","","Precision Frame","1.87%","∞%"
"auto-rifles","17","Ahab Char","","Rapid-Fire Frame","1.83%","∞%"
"auto-rifles","18","Steelfeather Repeater","","Rapid-Fire Frame","1.80%","∞%"
"auto-rifles","19","Rufus's Fury","","Rapid-Fire Frame","1.75%","∞%"
"auto-rifles","20","Snipehunt Mk. 47","","Lightweight Frame","1.50%","∞%"
"auto-rifles","21","Ammit AR2","","Precision Frame","1.44%","∞%"
"auto-rifles","22","The Summoner","","Adaptive Frame","1.28%","∞%"
"auto-rifles","23","The Ringing Nail","","Precision Frame","1.23%","∞%"
"auto-rifles","24","Gnawing Hunger","","Adaptive Frame","1.20%","∞%"
"auto-rifles","25","Everburning Glitz","","Rapid-Fire Frame","1.20%","∞%"
"auto-rifles","26","Pluperfect","","High-Impact Frame","1.12%","∞%"
"auto-rifles","27","Fair Judgment","","Precision Frame","1.12%","∞%"
"auto-rifles","28","Chrysura Melo","","Support Frame","1.09%","∞%"
"auto-rifles","29","Prosecutor","","Precision Frame","1.08%","∞%"
"auto-rifles","30","VS Pyroelectric Propellant","","Adaptive Frame","1.06%","∞%"
"auto-rifles","31","Scathelocke","","Adaptive Frame","1.01%","∞%"
"auto-rifles","32","Reckless Oracle","","Rapid-Fire Frame","1.00%","∞%"
"auto-rifles","33","Ros Arago IV","","Adaptive Frame","0.99%","∞%"
"auto-rifles","34","Auric Disabler","","Precision Frame","0.97%","∞%"
"auto-rifles","35","Arctic Haze","","Rapid-Fire Frame","0.95%","∞%"
"auto-rifles","36","Adamantite","","Support Frame","0.92%","∞%"
"auto-rifles","37","Abyss Defiant","","High-Impact Frame","0.89%","∞%"
"auto-rifles","38","The Summoner","","Adaptive Frame","0.88%","∞%"
"auto-rifles","39","Age-Old Bond","","High-Impact Frame","0.84%","∞%"
"auto-rifles","40","Adamantite","","Support Frame","0.82%","∞%"
"auto-rifles","41","Krait","","Rapid-Fire Frame","0.77%","∞%"
"auto-rifles","42","Reckless Oracle","","Rapid-Fire Frame","0.77%","∞%"
"auto-rifles","43","Arc Logic","","Adaptive Frame","0.75%","∞%"
"auto-rifles","44","Old Sterling","","Adaptive Frame","0.73%","∞%"
"auto-rifles","45","VS Pyroelectric Propellant","","Adaptive Frame","0.71%","∞%"
"auto-rifles","46","Perpetualis","","Adaptive Frame","0.70%","∞%"
"auto-rifles","47","The Riposte","","Lightweight Frame","0.68%","∞%"
"auto-rifles","48","Intercalary","","Adaptive Frame","0.61%","∞%"
"auto-rifles","49","Chroma Rush","","Rapid-Fire Frame","0.56%","∞%"
"auto-rifles","50","The Riposte","","Lightweight Frame","0.56%","∞%"
"auto-rifles","51","Tigerspite","","Precision Frame","0.55%","∞%"
"auto-rifles","52","The Summoner (Adept)","","Adaptive Frame","0.54%","∞%"
"auto-rifles","53","Veiled Threat","","Rapid-Fire Frame","0.53%","∞%"
"auto-rifles","54","Come to Pass","","High-Impact Frame","0.53%","∞%"
"auto-rifles","55","Chroma Rush","","Rapid-Fire Frame","0.48%","∞%"
"auto-rifles","56","Sweet Sorrow","","Rapid-Fire Frame","0.48%","∞%"
"auto-rifles","57","Rufus's Fury (Adept)","","Rapid-Fire Frame","0.47%","∞%"
"auto-rifles","58","Prosecutor","","Precision Frame","0.47%","∞%"
"auto-rifles","59","BrayTech Werewolf","","Precision Frame","0.46%","∞%"
