Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"1","Praxic Blade","Sword","Ranged Weapon","0.93%","∞%"
"2","Ergo Sum","Sword","Wave Sword Frame","0.74%","∞%"
"3","Mint Retrograde","Pulse Rifle","Micro-Missile Frame","0.72%","∞%"
"4","Positive Outlook","Auto Rifle","Precision Frame","0.58%","∞%"
"5","Qua Vinctus IV","Machine Gun","High-Impact Frame","0.56%","∞%"
"6","Mint Retrograde","Pulse Rifle","Micro-Missile Frame","0.56%","∞%"
"7","Yeartide Apex","Submachine Gun","Lightweight Frame","0.53%","∞%"
"8","Cynosure","Rocket Launcher","Adaptive Frame","0.52%","∞%"
"9","Felwinter's Lie","Shotgun","Shot Package","0.51%","∞%"
"10","Festival Flight","Grenade Launcher","Area Denial Frame","0.47%","∞%"
"11","The Slammer","Sword","Vortex Frame","0.46%","∞%"
"12","Refurbished A499","Sniper Rifle","Disruption Weapon [Shield-Piercing]","0.45%","∞%"
"13","Aurora Dawn","Sword","Wave Sword Frame","0.45%","∞%"
"14","M-17 ""Fast Talker""","Submachine Gun","Balanced Heat Weapon","0.44%","∞%"
"15","Hammerhead","Machine Gun","Adaptive Frame","0.44%","∞%"
"16","Service Revolver","Hand Cannon","Precision Frame","0.42%","∞%"
"17","The Ringing Nail","Auto Rifle","Precision Frame","0.42%","∞%"
"18","Bitter End","Machine Gun","Balanced Heat Weapon","0.39%","∞%"
"19","The Helmsman","Sniper Rifle","High-Impact Frame","0.37%","∞%"
"20","Uncivil Discourse","Hand Cannon","Dynamic Heat Weapon","0.37%","∞%"
"21","Nightshade","Pulse Rifle","Lightweight Frame","0.36%","∞%"
"22","Main Ingredient","Fusion Rifle","Precision Frame","0.36%","∞%"
"23","The Call","Sidearm","Micro-Missile Frame","0.36%","∞%"
"24","Convened Recurve","Combat Bow","High-Impact Longbow","0.36%","∞%"
"25","Sullen Claw","Sword","Lightweight Frame","0.35%","∞%"
"26","Zealous Ideal","Auto Rifle","Balanced Heat Weapon","0.35%","∞%"
"27","Joxer's Longsword","Pulse Rifle","Heavy Burst","0.34%","∞%"
"28","Motif-41","Grenade Launcher","Area Denial Frame","0.34%","∞%"
"29","Eighty-Six","Sword","Vortex Frame","0.34%","∞%"
"30","Roar of the Bear","Rocket Launcher","High-Impact Frame","0.34%","∞%"
"31","Compact Defender","Sidearm","Dynamic Heat Weapon","0.34%","∞%"
"32","Nameless Midnight","Scout Rifle","Precision Frame","0.33%","∞%"
"33","Reghusk's Pledge","Auto Rifle","Rapid-Fire Frame","0.33%","∞%"
"34","Ouster Engine","Grenade Launcher","Area Denial Frame","0.33%","∞%"
"35","Psi Aeterna IV","Pulse Rifle","Micro-Missile Frame","0.33%","∞%"
"36","Multimach CCX","Submachine Gun","Lightweight Frame","0.32%","∞%"
"37","A Good Shout","Combat Bow","High-Impact Frame","0.32%","∞%"
"38","Trendsetter","Auto Rifle","Adaptive Frame","0.32%","∞%"
"39","Prolonged Engagement","Submachine Gun","Lightweight Frame","0.31%","∞%"
"40","The Hothead","Rocket Launcher","Adaptive Frame","0.31%","∞%"
"41","Punching Out","Sidearm","Rapid-Fire Frame","0.31%","∞%"
"42","Perfect Paradox","Shotgun","Rapid-Fire Frame","0.30%","∞%"
"43","High Tyrant","Pulse Rifle","Balanced Heat Weapon","0.30%","∞%"
"44","Unending Tempest","Submachine Gun","Precision Frame","0.29%","∞%"
"45","Lethal Abundance","Auto Rifle","High-Impact Frame","0.29%","∞%"
"46","Lotus-Eater","Sidearm","Micro-Missile Frame","0.29%","∞%"
"47","Mistral Lift","Linear Fusion Rifle","Adaptive Burst","0.28%","∞%"
"48","Kindled Orchid","Hand Cannon","Adaptive Frame","0.28%","∞%"
"49","MIDA Mini-Tool","Submachine Gun","MIDA Synergy","0.27%","∞%"
"50","Crimil's Dagger","Hand Cannon","Aggressive Frame","0.27%","∞%"
"51","Inbound Surveillance","Scout Rifle","High-Impact Frame","0.27%","∞%"
"52","The Other Half","Sword","Adaptive Frame","0.27%","∞%"
"53","Randy's Throwing Knife","Scout Rifle","Rapid-Fire Frame","0.27%","∞%"
"54","Autumn Wind","Pulse Rifle","Rapid-Fire Frame","0.26%","∞%"
"55","Better Devils","Hand Cannon","Adaptive Frame","0.26%","∞%"
"56","No Hesitation","Auto Rifle","Support Frame","0.25%","∞%"
"57","Salvager's Salvo","Grenade Launcher","Lightweight Frame","0.25%","∞%"
"58","The Forward Path","Auto Rifle","Adaptive Frame","0.25%","∞%"
"59","Synanceia","Sword","Wave Sword Frame","0.25%","∞%"
"60","Unwavering Duty","Machine Gun","Adaptive Frame","0.25%","∞%"
"61","Evening SI4","Sidearm","Adaptive Burst","0.25%","∞%"
"62","The Palindrome","Hand Cannon","Adaptive Frame","0.25%","∞%"
"63","Conspiracy Honed","Sniper Rifle","Dynamic Heat Weapon","0.25%","∞%"
"64","Whatchamacallit","Submachine Gun","Aggressive Burst","0.25%","∞%"
"65","Voltaic Shade","Scout Rifle","Balanced Heat Weapon","0.25%","∞%"
"66","Chroma Rush","Auto Rifle","Rapid-Fire Frame","0.25%","∞%"
"67","DECATUR 02","Auto Rifle","Support Frame","0.25%","∞%"
"68","Horror's Least","Pulse Rifle","Rapid-Fire Frame","0.24%","∞%"
"69","Blast Furnace","Pulse Rifle","Aggressive Burst","0.24%","∞%"
"70","Apex Predator","Rocket Launcher","Adaptive Frame","0.24%","∞%"
"71","Chattering Bone","Pulse Rifle","Lightweight Frame","0.24%","∞%"
"72","Choir of One","Auto Rifle","Command Frame","0.24%","∞%"
"73","The Time-Worn Spire","Pulse Rifle","Rapid-Fire Frame","0.24%","∞%"
"74","Spare Rations","Hand Cannon","Lightweight Frame","0.24%","∞%"
"75","Gnawing Hunger","Auto Rifle","Adaptive Frame","0.24%","∞%"
"76","Modified B-7 Pistol","Hand Cannon","Dynamic Heat Weapon","0.23%","∞%"
"77","Gizmo Weft","Grenade Launcher","Micro-Missile Frame","0.23%","∞%"
"78","Outrageous Fortune","Grenade Launcher","Rapid-Fire Frame","0.23%","∞%"
"79","21% Delirium","Machine Gun","Rapid-Fire Frame","0.23%","∞%"
